index,상호명,상권업종소분류명,시도명,시군구명,행정동명,지번주소,도로명주소,층정보,경도,위도
6863,CU,편의점,서울특별시,영등포구,영등포동,서울특별시 영등포구 영등포동2가 94-145번지 ,"서울특별시 영등포구 버드나루로 29, (영등포동2가)",1,126.911864,37.52128681
6864,세븐일레븐,편의점,서울특별시,은평구,갈현1동,서울특별시 은평구 갈현동 400-11번지 ,"서울특별시 은평구 통일로 863-11, (갈현동)",1,126.9193668,37.61982997
6865,GS25,편의점,서울특별시,서대문구,충현동,서울특별시 서대문구 미근동 257번지 ,"서울특별시 서대문구 통일로 87, (미근동)",,126.9685011,37.56276554
6866,CU공릉라이프점,편의점,서울특별시,노원구,공릉1동,서울특별시 노원구 공릉동 715번지 시영라이프3단지 ,"서울특별시 노원구 섬밭로 123, (공릉동, 시영라이프3단지)",1,127.0683043,37.6279028
6867,GS25선유도타워,편의점,서울특별시,영등포구,양평2동,서울특별시 영등포구 양평동4가 80번지 ,"서울특별시 영등포구 선유로49길 23, (양평동4가)",1,126.8950373,37.53617796
6868,GS25성동구청점,편의점,서울특별시,성동구,행당1동,서울특별시 성동구 행당동 168-2번지 더리치빌 ,"서울특별시 성동구 고산자로14길 20, (행당동, 더리치빌)",1,127.0372756,37.56276071
6869,세븐일레븐,편의점,서울특별시,중랑구,상봉2동,서울특별시 중랑구 상봉동 89-7번지 ,"서울특별시 중랑구 망우로50길 25, (상봉동)",1,127.0893351,37.59597187
6870,GS25궁동상지점,편의점,서울특별시,구로구,수궁동,서울특별시 구로구 궁동 208-16번지 ,"서울특별시 구로구 부일로15길 29, (궁동)",1,126.8330304,37.49413373
6871,GS25,편의점,서울특별시,마포구,서교동,서울특별시 마포구 서교동 356-1번지 ,"서울특별시 마포구 홍익로 25, (서교동)",1,126.9219418,37.55442042
6872,CU,편의점,서울특별시,관악구,조원동,서울특별시 관악구 신림동 561-5번지 ,"서울특별시 관악구 조원로 58, (신림동)",1,126.908873,37.48351441
6873,GS25,편의점,서울특별시,종로구,종로1.2.3.4가동,서울특별시 종로구 관수동 70-4번지 ,"서울특별시 종로구 돈화문로 11-1, (관수동)",1,126.9920205,37.56959135
6874,CU,편의점,서울특별시,은평구,갈현2동,서울특별시 은평구 갈현동 504-2번지 ,"서울특별시 은평구 갈현로 233, (갈현동)",1,126.9148744,37.61795064
6875,CU,편의점,서울특별시,동작구,상도4동,서울특별시 동작구 상도동 261-11번지 ,"서울특별시 동작구 성대로10길 5, (상도동)",,126.9347151,37.4974462
6876,GS25,편의점,서울특별시,동대문구,장안1동,서울특별시 동대문구 장안동 336번지 장안현대홈타운 ,"서울특별시 동대문구 장안벚꽃로 107, (장안동, 장안현대홈타운)",1,127.0750691,37.57107317
6877,GS25,편의점,서울특별시,강서구,방화1동,서울특별시 강서구 방화동 485-3번지 ,"서울특별시 강서구 양천로11길 14, (방화동)",1,126.8100282,37.57393401
6878,CU,편의점,서울특별시,관악구,신사동,서울특별시 관악구 신림동 470-15번지 ,"서울특별시 관악구 관천로15길 27, (신림동)",,126.920984,37.48657207
6879,GS25,편의점,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성동 9번지 ,"서울특별시 강남구 선릉로 654, (삼성동)",,127.0423568,37.51506441
6880,현대이십오시편의점,편의점,서울특별시,은평구,녹번동,서울특별시 은평구 녹번동 278-1번지 녹번현대2차 ,"서울특별시 은평구 서오릉로 46, 202동  (녹번동, 녹번현대2차)",,126.9249705,37.60512227
6881,GS25,편의점,서울특별시,관악구,신림동,서울특별시 관악구 신림동 1438-12번지 ,"서울특별시 관악구 신림동5가길 16, (신림동)",1,126.9262626,37.48671027
6882,LanonB,편의점,서울특별시,서초구,방배3동,서울특별시 서초구 방배동 984-3번지 ,"서울특별시 서초구 효령로34길 4, (방배동)",1,126.9990073,37.48136601
6883,CU,편의점,서울특별시,강남구,대치4동,서울특별시 강남구 대치동 896-36번지 ,"서울특별시 강남구 선릉로86길 42, (대치동)",,127.0530965,37.50394187
6884,GS25,편의점,서울특별시,영등포구,당산2동,서울특별시 영등포구 당산동 121-162번지 ,"서울특별시 영등포구 국회대로55길 10, (당산동)",1,126.9083332,37.52602975
6885,GS25,편의점,서울특별시,종로구,종로1.2.3.4가동,서울특별시 종로구 관수동 20번지 ,"서울특별시 종로구 수표로 96, (관수동)",1,126.9900041,37.56970026
6886,CU,편의점,서울특별시,영등포구,영등포동,서울특별시 영등포구 영등포동6가 80-2번지 ,"서울특별시 영등포구 영등포로 199, (영등포동6가)",1,126.9037549,37.52037385
6887,CU,편의점,서울특별시,강북구,수유2동,서울특별시 강북구 수유동 710-13번지 ,"서울특별시 강북구 노해로35길 61, (수유동)",,127.0221042,37.64783825
6888,GS25신림제일점,편의점,서울특별시,관악구,신림동,서울특별시 관악구 신림동 1442-4번지 ,"서울특별시 관악구 관천로22길 79, (신림동)",1,126.9268345,37.48862569
6889,GS25화곡가온점,편의점,서울특별시,강서구,화곡4동,서울특별시 강서구 화곡동 791-12번지 ,"서울특별시 강서구 강서로8길 200, (화곡동)",1,126.8592942,37.53093645
6890,GS25동작대방점,편의점,서울특별시,동작구,대방동,서울특별시 동작구 대방동 336-13번지 ,"서울특별시 동작구 상도로 80, (대방동)",1,126.9293589,37.49952425
